Symbol,Security,GICS Sector,GICS Sub-Industry,Yahoo_Symbol
ALL,Allstate,Financials,Property & Casualty Insurance,ALL
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,GOOGL
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,GOOG
MO,Altria,Consumer Staples,Tobacco,MO
AMZN,Amazon,Consumer Discretionary,Broadline Retail,AMZN
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,AMCR
AEE,Ameren,Utilities,Multi-Utilities,AEE
AEP,American Electric Power,Utilities,Electric Utilities,AEP
AXP,American Express,Financials,Consumer Finance,AXP
AIG,American International Group,Financials,Multi-line Insurance,AIG
AMT,American Tower,Real Estate,Telecom Tower REITs,AMT
AWK,American Water Works,Utilities,Water Utilities,AWK
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,AMP
AME,Ametek,Industrials,Electrical Components & Equipment,AME
AMGN,Amgen,Health Care,Biotechnology,AMGN
APH,Amphenol,Information Technology,Electronic Components,APH
ADI,Analog Devices,Information Technology,Semiconductors,ADI
AON,Aon plc,Financials,Insurance Brokers,AON
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,APA
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,APO
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",AAPL
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,AMAT
APP,AppLovin,Communication Services,Advertising,APP
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,APTV
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,ACGL
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,ADM
ARES,Ares Management,Financials,Asset Management & Custody Banks,ARES
ANET,Arista Networks,Information Technology,Communications Equipment,ANET
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,AJG
AIZ,Assurant,Financials,Multi-line Insurance,AIZ
T,AT&T,Communication Services,Integrated Telecommunication Services,T
ATO,Atmos Energy,Utilities,Gas Utilities,ATO
ADSK,Autodesk,Information Technology,Application Software,ADSK
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,ADP
AZO,AutoZone,Consumer Discretionary,Automotive Retail,AZO
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,AVY
AXON,Axon Enterprise,Industrials,Aerospace & Defense,AXON
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,BKR
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",BALL
BAC,Bank of America,Financials,Diversified Banks,BAC
BAX,Baxter International,Health Care,Health Care Equipment,BAX
BDX,Becton Dickinson,Health Care,Health Care Equipment,BDX
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,BRK-B
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,BBY
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,TECH
BIIB,Biogen,Health Care,Biotechnology,BIIB
BLK,BlackRock,Financials,Asset Management & Custody Banks,BLK
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,BX
XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,XYZ
BE,Bloom Energy,Industrials,Electrical Components & Equipment,BE
BNY,BNY Mellon,Financials,Asset Management & Custody Banks,BNY
BA,Boeing,Industrials,Aerospace & Defense,BA
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",BKNG
BSX,Boston Scientific,Health Care,Health Care Equipment,BSX
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,BMY
AVGO,Broadcom,Information Technology,Semiconductors,AVGO
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,BR
BRO,Brown & Brown,Financials,Insurance Brokers,BRO
BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,BF-B
BG,Bunge Global,Consumer Staples,Agricultural Products & Services,BG
BXP,"BXP, Inc.",Real Estate,Office REITs,BXP
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,CHRW
CDNS,Cadence Design Systems,Information Technology,Application Software,CDNS
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,CPT
COF,Capital One,Financials,Consumer Finance,COF
CAH,Cardinal Health,Health Care,Health Care Distributors,CAH
CCL,Carnival Corporation,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",CCL
CARR,Carrier Global,Industrials,Building Products,CARR
CVNA,Carvana,Consumer Discretionary,Automotive Retail,CVNA
CASY,Casey's,Consumer Staples,Food Retail,CASY
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,CAT
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,CBOE
CBRE,CBRE Group,Real Estate,Real Estate Services,CBRE
CDW,CDW Corporation,Information Technology,Technology Distributors,CDW
COR,Cencora,Health Care,Health Care Distributors,COR
CNC,Centene Corporation,Health Care,Managed Health Care,CNC
CNP,CenterPoint Energy,Utilities,Multi-Utilities,CNP
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,CF
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,CRL
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,SCHW
CHTR,Charter Communications,Communication Services,Cable & Satellite,CHTR
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,CVX
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,CMG
CB,Chubb Limited,Financials,Property & Casualty Insurance,CB
CHD,Church & Dwight,Consumer Staples,Household Products,CHD
CIEN,Ciena,Information Technology,Communications Equipment,CIEN
CI,Cigna,Health Care,Health Care Services,CI
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,CINF
CTAS,Cintas,Industrials,Diversified Support Services,CTAS
